title,author,rating,format,year
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.27,Hardcover,2012
Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children #1),Ransom Riggs,4.15,Hardcover,2011
Anne of Green Gables: illustrated - first published in 1908 (1st. Page Classics),L.M. Montgomery,4.23,Paperback,1908
A Tale of Two Cities,Charles Dickens,4.16,Paperback,1999
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,4,Paperback,2005
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,3.93,ebook,2012
What the Dog Saw and Other Adventures,Malcolm Gladwell,3.71,Hardcover,2009
Darker: Fifty Shades Darker as Told by Christian (Fifty Shades of Grey),E L James,4.18,ebook,2011
A Wrinkle in Time Movie Tie-In Edition (A Wrinkle in Time Quintet),Madeleine L'Engle,4.45,Hardcover,1979
The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,4.45,Hardcover,1979
The Wrinkle in Time Quintet Boxed Set (A Wrinkle in Time A Wind in the Door A Swiftly Tilting Planet Many Waters An Acceptable Time),Madeleine L'Engle,4.55,Hardcover,1979
The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,4.4,Hardcover,1979
Wrinkle in Time / Wind in the Door / Swiftly Tiltling Planet,Madeleine L'Engle,4.45,Hardcover,1979
The Time Trilogy (A Wrinkle in Time Quintet #1-3),Madeleine L'Engle,4.3,Hardcover,1979
A Wrinkle in Time: 50th Anniversary Commemorative Edition (A Wrinkle in Time Quintet),Madeleine L'Engle,4.45,Hardcover,1979
A Swiftly Tilting Planet (A Wrinkle in Time Quintet),Madeleine L'Engle,4.45,Hardcover,1979
A Wrinkle in Time (A Wrinkle in Time Quintet Book 1),Madeleine L'Engle,4.45,Hardcover,1979
Oh the Places You'll Go!  ,Dr. Seuss,4.62,Hardcover,1990
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,4.5,Hardcover,2006
The Girl on the Train,Paula Hawkins,4,Hardcover,2015
The Catcher in the Rye,J.D. Salinger,3.8,Paperback,2010
The Catcher in the Rye,J.D. Salinger,3.95,Paperback,2010
Ready Player One (Ready Player One #1),Ernest Cline,4.46,Hardcover,2011
The Little Prince,Antoine de Saint-Exupry,4.39,Paperback,2000
The Color of Water: A Black Man's Tribute to His White Mother,James McBride,4.33,Paperback,2004
David and Goliath: Underdogs Misfits and the Art of Battling Giants,Malcolm Gladwell,3.78,Paperback,2010
Gift from the Sea: 50th-Anniversary Edition,Anne Morrow Lindbergh,4.33,Paperback,1991
The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien,4.52,Paperback,2005
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,4.23,Hardcover,2006
The Old Man and the Sea,Ernest Hemingway,4.07,Hardcover,1996
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R.R. Martin,4.41,Mass Market Paperback,2005
The Handmaid's Tale,Margaret Atwood,4.09,Paperback,1998
Dr. Seuss's Beginner Book Collection (Cat in the Hat One Fish Two Fish Green Eggs and Ham Hop on Pop Fox in Socks),Seuss,4.47,Paperback,2009
Fox in Socks (Beginner Books),Dr. Seuss,4.32,Paperback,2003
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,4.39,Hardcover,2006
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.85,Hardcover,2000
Percy Jackson and the Olympians 5 Book Paperback Boxed Set (new covers w/poster) (Percy Jackson & the Olympians),Rick Riordan,4.34,Paperback,2006
The Great Gatsby,F. Scott Fitzgerald,4.1,Paperback,2004
A New Earth: Awakening to Your Life's Purpose (Oprah's Book Club Selection 61),Eckhart Tolle,4.32,Paperback,2006
Goodnight Moon,Margaret Wise Brown,4.48,Hardcover,2007
Fall of Giants: Book One of the Century Trilogy,Ken Follett,4.38,Hardcover,2002
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.29,Paperback,2007
The Little House Collection (Little House #1-9),Laura Ingalls Wilder,4.52,Boxed Set,2003
The Complete Calvin and Hobbes,Bill Watterson,4.82,Hardcover,1987
The Hobbit and the Lord of the Rings (the Hobbit / the Fellowship of the Ring / the Two Towers / the,J.R.R. Tolkien,4.59,Paperback,2005
Mere Christianity and The Screwtape Letters,C.S. Lewis,4.5,Hardcover,1996
The Universe in a Nutshell,Stephen Hawking,4.31,Hardcover,2001
The Westing Game (Puffin Modern Classics),Ellen Raskin,4.21,Paperback,2004
Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter Book 2),J.K. Rowling,4.54,Hardcover,1999
Harry Potter and the Chamber of Secrets (Harry Potter #2),J.K. Rowling,4.54,Hardcover,1999
The Light Between Oceans: A Novel,M.L. Stedman,4.25,Hardcover,2012
The Art of Failure,Malcolm Gladwell,3.99,Hardcover,2000
